sampleId,sandMineral,siltMineral,clayMineral,sand,silt,clay,om,irdaClass,usdaClass,customClass
1,0.705,0.248,0.047,0.67,0.236,0.045,0.05,8,8,8
2,0.743,0.173,0.084,0.714,0.165,0.081,0.04,8,8,8
